norm,chi,logistic,beta,gamma,bimodal,uniform
579.871966696,3453.11677757,8794.08345864,906.623028718,4112.77795081,1174.9419709,548.514159086
737.698151011,5615.48083144,14329.5391046,153.351334898,4434.65404802,970.645819011,171.943725575
112.143365725,5414.95800709,7233.5615397,259.852755251,2156.31498219,1835.08928314,682.842889775
-17.7613485996,3533.25146792,11742.9157433,494.698189984,2681.75990089,972.445003757,135.730132482
-907.646631219,3880.52403915,10241.3748338,892.322763436,5260.54986541,1449.2581671,923.466057459
-1435.06747411,4222.57877609,11742.5797887,406.729089813,2098.37312405,1233.77100424,82.9780274996
-631.549256964,5209.87388589,10234.2045926,108.897317196,1954.4606099,808.14759782,213.197831826
-73.3104260179,6424.57102095,9412.27914692,144.858069397,2100.12844318,2215.32247107,297.537667038
-1046.96749379,8445.19477712,7522.96464981,667.335550442,4383.54642466,2006.48647958,937.785705172
1344.80692294,853.818651981,9589.78883383,249.750691962,1384.30891298,2401.62281605,304.269062901
-245.77255556,1482.83669439,10912.6814587,304.368222017,2668.59863948,810.766592204,424.472558203
906.332740415,14722.1209184,12902.3272793,124.660180397,2236.34747253,1983.64542058,961.59838908
-1765.45162488,5692.24208497,9485.61482982,290.004429001,2276.11183164,1274.06738104,673.202195495
-305.721868374,2770.10857271,9365.53610578,268.707889015,3706.06864026,1105.38019483,227.551517209
1495.37324834,3563.65204915,11328.3156242,282.749180703,2379.24222663,1025.68475158,698.300810984
-1643.38969067,2723.60687059,11857.4939497,37.5732186324,4835.98269693,1035.48847989,488.321102602
39.0847035877,2507.24464973,9495.1460845,534.842776402,3296.12019185,2136.44025488,680.234816144
-14.8007536556,6247.78627088,9745.91270786,956.08495222,4299.50500101,1006.43009239,15.5588422637
-735.050926131,4506.24841306,12819.8914993,369.421975059,2413.77657764,995.210501071,451.441621823
443.301597804,2186.06634587,10859.6287957,612.306277832,2092.71542942,978.247762026,761.617720065
-707.181380799,4952.04333304,9672.19265698,589.144024253,5887.34308067,1843.20103678,461.553963918
-1390.16002755,2528.93487514,7875.20103075,151.769827232,1374.95070735,1989.72937691,134.486907155
968.56654763,1600.23442208,8732.00501749,878.979061523,1766.38099552,1124.43578257,690.412749251
190.815801233,5148.6957742,11529.0116636,710.009565329,3810.80802225,1212.50060024,819.806821231
-1470.05526522,1655.73953068,9126.95528334,70.849415728,3643.73158133,1251.39907846,991.184372769
-932.814362266,1441.72656242,9059.66105986,194.607931413,6297.74807793,2132.65930355,645.770684316
475.74964062,6434.31865838,8708.30658673,985.50834716,2205.60730561,1993.18259807,973.555527214
-1774.10651484,2129.89633078,11074.2849776,415.297294497,3297.57079794,733.021999479,717.151316281
788.345529995,5600.13540107,9390.50046205,165.36693642,1382.20700375,1215.98059087,48.8695874875
-303.732014444,8348.4727577,11880.9154254,964.046883039,3836.6169524,952.967680522,203.3171858
882.650890592,316.820702147,9364.64797432,9.00888563205,2331.8006693,769.88938705,611.375476539
237.128699974,5862.97606456,10655.9164732,968.795712531,4931.33858485,1935.58482015,365.610703913
1050.22989087,1179.55878428,9624.9509663,988.140227967,3823.31117282,1208.08722567,449.457511041
-1717.27295337,4124.25846154,11187.7783971,649.986749734,3688.11519494,665.603447956,865.563568009
1885.20782227,3666.61961692,10087.4476632,671.156639929,2645.15615331,2195.34282972,678.984944696
-46.1902969203,8970.42089215,10701.1817252,56.5177502107,4246.0242612,722.502301574,907.299497141
216.412093753,1919.96637538,9930.81361788,10.2446702398,4594.63605815,1029.01276595,245.594846771
1161.25501311,795.272844731,8697.354857,803.079673969,5391.30134553,2197.38914409,808.704193139
-1249.58699397,12696.5075533,10473.5704178,191.435526944,3712.99917129,2263.23983534,11.8798948314
-1308.966189,5360.23825294,9785.84576165,107.450792585,4183.37388996,516.174831429,881.942338903
-628.093849391,3846.02728879,13140.6247076,256.981301634,3520.2937545,1041.57975634,952.539692406
635.447712148,3651.76076247,9396.09493271,945.072425216,3808.19983719,1151.18797253,545.379739989
1206.12838859,1535.60170753,10992.254849,541.135556019,4003.55837205,621.036891987,876.397371655
-255.538218894,1191.96752106,9896.59381244,442.616402773,2712.30452962,1044.19897931,586.872658454
441.556791536,1222.14616544,11231.8845494,315.219717765,4416.97228466,1880.69426154,19.19430116
-661.330232748,1919.5693413,9299.62926053,46.7413747989,4665.70249974,1098.06255519,891.420534692
303.291976972,4658.09227665,12112.3534882,14.7059426721,2691.0718424,2013.77254245,615.773621085
-1670.09405203,3419.55067612,11942.9643172,998.25838052,3363.43578864,783.345751368,729.233121669
1446.15517053,4630.98877636,8679.21923607,238.279016929,2853.1871478,737.977798118,365.143964046
1564.22830484,2237.5408488,10198.988432,976.1790349,5100.24305877,1023.28204324,814.859666529
-2202.60737028,5357.51818742,10777.1313013,840.89586943,5429.99678459,687.310185646,146.846298791
-177.029564918,9120.22835277,10816.1267501,31.1071717877,3212.23121189,971.150792771,52.2524853178
-634.393092624,2127.59671849,12470.8145203,42.9325061495,3524.56158934,1005.27958291,525.297514332
-772.964632397,4104.27473964,11684.3885415,988.074645011,4408.27439911,865.822689784,906.83279059
239.658366159,8392.87597001,11142.4338484,692.753289755,3476.27190509,1874.1739257,544.466161321
-107.791847746,238.702826712,8884.34914622,91.9190813645,5531.72392387,1078.9530805,743.33102161
-933.911109886,4028.05561442,9847.68851527,724.858639451,2554.57441882,908.987050932,562.498512787
-1589.48624323,6203.54724413,9271.34700152,0.54595559808,5749.38644073,1313.79867195,951.107984155
341.84081771,4819.74029456,7557.84529874,598.160532104,2623.88272327,1003.37274244,507.712527885
247.745031075,3992.7700206,8720.88286126,13.8662095897,3262.47763175,1033.05494807,950.017102591
1156.536468,6717.84689333,9454.94878897,113.600681759,2762.98333512,1760.51267398,966.964854957
1521.4713835,1402.44463635,10042.3454411,2.78792174417,3622.85740926,2048.04510984,618.666525171
-1363.68200417,738.044786904,10726.2935183,660.078952818,3807.51428472,1195.84167511,495.484301053
-835.695749398,3118.96126892,8642.15217375,960.709419899,3677.54671556,1020.66363126,140.43739057
-758.821051866,2399.81865905,8765.18294375,30.3809614448,5733.86364962,930.634091542,143.891611859
-322.996407583,1929.74641475,8736.22050097,429.744732384,5962.50535323,1049.57313908,223.853301755
273.063760985,5014.0825349,6758.4187559,371.804127919,1659.83678107,962.065682446,430.294373359
1024.92595816,8901.79544097,10511.3110088,841.168053021,2112.32295453,1064.2888456,450.050969331
1221.18435904,2184.34207103,10806.2694731,843.766192702,3439.17902914,1183.97122877,886.920850039
-1393.75942205,2560.0345275,6314.08095733,56.8720310749,2031.00706044,1997.03050929,760.951465839
166.750712929,1898.51852101,11227.3662957,659.925984593,4998.66068422,1081.85946028,232.177177969
1405.46997754,2460.53386398,8647.81486267,325.822193073,1955.92960066,949.23140468,594.613477815
296.841176369,2221.54428295,10746.1961493,661.937270087,3999.06159072,947.950466257,734.460978485
1871.22649253,1315.68734524,10005.9057129,239.797713361,3441.42439972,898.181562333,337.310884435
-502.795058715,8388.80281501,11140.2428295,490.993188674,4439.95446181,2109.863541,205.061956503
-1397.37225739,1998.95215699,12301.8292801,134.197196345,6327.2122513,1136.55884183,701.819131198
-219.198634359,4751.64180224,11480.8472532,717.327466326,4194.54274854,923.804503893,452.182417289
801.767919161,7508.71839299,13020.6630031,169.281613055,1394.17120228,848.738803641,779.325261016
-1800.33077478,4779.19123424,11629.9731813,853.076148093,4404.44774038,1246.93131638,376.600690665
1287.00001496,4209.22753518,9002.06164065,199.454868934,5052.11217145,982.032991486,222.420104302
1102.66697963,2963.09966175,8293.0626114,996.356644606,3622.83838529,978.439895175,420.666807416
-884.734948227,3667.04763895,11371.8094415,699.395725199,5061.33157262,889.499482716,112.287114566
387.937137441,776.684498909,8188.97627401,687.51519195,2869.03953693,885.218165352,208.932247223
730.173832057,961.880097915,4257.22047408,842.573518448,3622.20672188,1274.0113322,695.121923387
-2540.03437057,7682.45163385,10556.4493012,638.609953083,2209.27777665,1320.09083141,650.804231377
-919.34735962,12820.5210987,12279.0805637,887.010887071,3512.47505686,1059.55467217,668.20738266
-3308.21078417,949.766499897,9435.38452833,298.082471174,1865.52479084,1042.03480523,665.291847852
1604.76741936,9168.90564477,8956.05928095,536.487233143,3794.99906573,1824.14692166,10.3657832237
-870.636472957,2072.18688055,4121.52504675,0.0204801099205,5347.84027348,984.883957144,808.937655531
176.007916271,3366.48581652,10766.4491811,129.079634279,1790.21325181,1079.64652259,176.357868917
-296.526214577,7051.4531612,9608.3132515,96.3542565573,6175.5927758,1241.40384537,312.227041773
108.56972922,2210.93384321,10612.4556517,847.83246406,1743.33791569,983.212357083,326.965493576
2573.08146525,2591.5440221,12084.7667672,752.355112392,4013.28632551,775.902189602,166.640268325
-166.288027637,12965.5278589,8253.15396478,851.547479272,2390.68154928,1013.61705501,656.460574567
573.406538379,5614.1502551,11158.3242087,987.806138282,3364.07086591,1141.15321775,234.826521739
-1387.53440975,1514.76256667,9813.61429461,677.27305655,3958.39420403,1358.64980919,112.377873313
-541.969382448,2422.25095224,12552.9757553,300.132837607,2393.70193954,993.843421478,416.81074928
166.033768374,5233.57797452,9396.49318886,3.55226130019,4903.92241727,1241.71564042,298.195812511
489.609672561,1951.71331573,9475.14245832,108.436114993,3290.71001132,948.163197689,740.912791702
-2273.12207102,9396.24773772,11417.0895151,68.2492787124,5805.3618229,965.130669967,943.666559652
490.644529638,3867.18640597,10810.4719091,17.1004178217,3504.36420622,1987.3712721,293.128545197
754.68274213,10094.5944331,10571.3102927,289.999736534,1674.51094396,887.908863448,224.888399165
-1694.09404339,4358.64092683,9967.32332897,907.823029986,2384.83940749,968.743259249,529.922858897
-300.229642026,2455.22727988,7604.02562291,169.057639744,1668.76647624,985.483922263,650.084339412
509.10023831,1433.28519895,13284.766953,23.9492277341,4056.25896237,1779.65980744,320.766424054
758.406120616,1069.53818212,5389.9583858,798.570779327,2692.78055445,861.722685529,915.692706155
-386.094959377,2880.35468446,10800.7844354,209.32012823,4372.77858113,1019.08309234,222.945132352
1313.37453492,5436.67365514,5898.56097011,109.459763814,1264.53504574,864.096323631,273.563870792
2127.61403416,2487.01550261,11383.8754317,465.959966321,2859.15075947,852.734456043,668.624807833
371.218733235,5628.97628837,12039.9399414,61.5267130925,3468.59750594,1137.83528796,842.122913913
8.42894455234,4638.78840675,12639.603794,556.188326942,1964.77638371,1468.18245603,50.5661511724
-1224.7330394,2835.55858609,6364.48543438,258.909792028,4328.31765682,702.993339726,602.415296039
