zipf0.01,zipf0.5,zipf1,zipf1.5,zipf2,zipf2.5,zipf3
2456861642544411,1,1,2,1,1,1
105658722876374208,3,1,1,1,1,1
10207513265,2,1,1,1,1,1
402,6,1,1,1,1,1
947675524,44115,1,1,1,1,1
249,1,1,2,1,1,1
4425,1,12,1,1,1,1
1716604,279,2,5,1,1,1
337691,2,412,1,1,3,1
9047,1,1,1,1,1,1
983237,1,1,2,1,1,1
2015120564377353,966,1,1,2,1,1
1244555,5,2,1,1,1,1
523216629218036864,3,2,1,1,1,1
2591263759372200960,2,1,1,1,1,1
5,1,2,1,1,1,1
2226517,5,44,3,1,1,1
46215653522322,1,4,1,1,1,1
159414,2,1,1,1,1,1
8762671720323625984,1,3,2,1,1,1
3012,1,1,1,1,1,2
4660,107,1,1,1,1,1
78,2,1,1,1,1,1
118117597,1,14,1,1,1,1
14245968168179,2,1,3,1,1,1
1034214,105712,6,1,1,1,1
3168835054378,3,1,1,1,1,2
45421174583318432,2,1,1,1,1,1
1208357465006291712,3,1,1,1,1,1
1215108906,1,1,3,1,1,2
13,1,1,3,1,1,1
5596252262570010,11,1,2,1,1,1
5969754908635408,1,1,1,1,1,1
1509951727,1,1,1,1,1,1
1104574948576400768,4,1,23,2,1,1
1198676666830125,2,2,1,1,1,1
78909794193835,1,1,1,1,1,1
1344633327225710,1,1,1,2,1,1
197226841259580,1,2,1,1,1,1
633822,16,1,1,1,1,1
1348,19,3,1,1,1,1
9308863498178,4451,1,1,2,1,1
21063640228,1,1,2,1,1,1
19266163366,8,3,1,1,1,1
525745,15,25,1,1,1,1
37748541603,18,1,1,2,1,2
53274933,2,1,1,2,1,1
83839881706,2,1,1,1,1,3
268341446357963680,93,1,1,1,1,1
56867849708658184,1,1,1,1,1,1
12,2,1,1,1,1,1
3,2,1,8,1,1,1
12,10,7,1,1,2,1
360852,1,4,1,1,1,2
1026513960806444,1,1,1,1,1,2
68,3,1,1,1,1,1
1384,2,7,1,1,1,1
32246909432888,1,2,1,2,1,1
762741732826551,1,6,1,1,5,1
925225029260652,8,1,2,1,1,1
8542742954046469120,7,1,3,1,1,1
214964,14,1,2,1,1,1
63444117,3,149,1,1,1,1
6133464819537,4,1,1,1,1,1
3,1,16,1,2,1,1
640184,2,10,1,1,2,1
1,1008,1,1,2,1,1
7842007,1,1,2,1,1,1
2295621406,1,1,3,1,1,1
9948,1,1,1,1,1,1
109573629660284,29,5,1,1,1,1
27459288886,69,1,1,1,1,1
65307,1,4,1,1,1,1
449037511373,2,1,1,1,1,1
524815859246824448,31,3,1,1,1,1
772489873,4,1,1,1,1,1
2722288,1,2,5,1,1,2
392959483956491008,1,1,2,1,1,1
1,1,1,1,3,1,1
456580,4,1,2,1,1,1
538302619749331,1,4,1,1,1,1
1208323359139378,1,1,1,1,1,1
63,3,1,1,1,1,1
23111,4,3,1,1,1,1
38,2,1,4,1,1,1
1409554,1,1,11,2,1,1
97595572,1,1,2,1,1,1
29,1,1,3,1,1,1
294,3,2,2,1,1,1
59856904266,6,7,3,1,1,1
6685366729,14,2,2,1,1,1
3545595609,55,1,5,1,1,1
23317,6,1,1,1,3,1
323100260563753408,30,1,1,1,1,1
1022295287,1,4,1,1,1,1
127,1,1,1,1,1,1
580040745671431,36,14,1,1,1,1
9819,1,1,4,1,1,1
54,1,1,1,1,1,1
16,3,1,2,2,1,1
48005,4,9,1,1,1,1
7403337,31,3,1,1,1,1
20871581375443,2,1,1,1,1,1
218070677429069248,5,1,1,1,1,1
338386238774292992,10,1,4,1,1,1
90008720254,2,1,1,1,1,1
87,1,1,1,1,1,4
107428690452453200,1,1,1,1,1,1
2148427975951016,2,1,3,1,1,1
5463030381852157,1,1,1,1,1,2
1922818205686682,2,8,1,1,1,1
10066056282,1,1,1,2,1,1
10797618012,1,1,1,1,1,1
25032,1,4,2,1,1,1
3020585507,1,5,1,1,1,1
86812,9,1,1,1,1,1
75898455,1,4,1,1,1,2
2304625923490,1,1,1,1,1,1
107811479,4,1,1,1,1,1
1718934207,2,2,38,1,1,3
15,2,1,1,2,1,1
177354081,1,1,1,1,1,1
495360664795659,4,1,1,1,1,1
46012278328198,1,7,1,1,1,1
349594956,5,75,1,1,1,1
88,6,1,1,2,1,1
313171382358440192,20,43,2,2,1,1
37811826346713,9,1,1,1,1,1
1307,1,2,1,1,1,1
11,1,15,3,1,1,1
167,4820,3,1,1,1,1
105916556506435,1,2,1,1,1,1
3041141,8,1,1,1,1,1
86349380,1,1,1,1,1,2
16112292433052502,1,1,1,1,1,1
1376885973679,4,2,1,1,1,1
1126542,25,1,1,1,1,1
1579857513190885632,2,9,2,6,1,1
2877,2,2,1,1,1,1
5728,6,1,1,1,1,1
24001608,6,3,1,1,1,1
36393978256557832,2,3,2,1,2,1
6724,6,1,3,3,1,1
738872,12,5,23,1,1,2
10466,1,8,1,2,2,1
18934901655941,3098,1,1,1,2,1
6268185054248,6,8,1,1,1,1
3401257543626,1,3,1,1,1,1
592078846734111,2,2,1,1,1,1
235304274506430,1,1,1,1,1,1
14846234,51,1,1,1,1,1
22701761,7,1,1,1,1,1
204093,1,2,3,2,1,1
1426341812758180,1,1,1,1,1,1
1835765614603,10,4,1,1,1,1
91755393464109,1,1,3,1,1,1
417986052996424,3,232,1,1,1,3
15051602753,5,1,1,1,4,1
48,54,2,5,1,1,1
5947983023975006,1,21,1,1,3,1
2154514,629,1,1,1,1,2
2421799971511455,1,1,1,1,2,2
4687411396,5,1,1,1,1,1
802439,3,1,2,1,1,1
8285791194893034,1,1,1,1,1,1
142463056583052704,1,2,1,2,1,1
5,1,2,1,1,1,1
1775790955276986,1,3,3,1,1,2
1,1,2,1,1,1,1
785423053490,42,1,1,1,1,1
1,27,1,2,1,1,1
34495297903410736,1,1,1,2,1,1
1,5,2,1,1,1,1
19,1,4,2,11,1,1
268702163346012,2,1,1,1,1,1
4604027960468,44,1,1,1,1,1
1102121,1,1,1,1,1,4
291339978590558720,101,1,1,1,1,1
7,182,2,2,2,1,1
2511075369460982272,1,14,1,1,1,1
1572868251092819456,3,1,1,5,1,1
139276399039272208,1,3,1,1,1,6
950,4,1,6,1,1,1
32102,38,1,1,1,1,1
19986918461534,4,2,1,1,1,1
68,2,1,1,1,1,1
2734159,1,1,6,1,1,1
159182190,2,1,1,1,1,1
121467417,10,1,1,3,1,1
144081731013796768,10,1,1,1,1,1
1,2,1,4,1,1,1
116008239827889,13,1,1,1,1,1
8963048,10,6,1,1,1,1
1,2,1,1,1,1,1
4,1,1,3,2,1,1
11350865051136240,5,1,3,1,1,1
37430727,2,59,1,1,1,1
670770904820549,1,1,1,1,2,3
5376,1,3,2,1,1,1
64270498971,8,27,1,1,1,1
8817514469,243,1,3,1,1,1
7265450388505,4,1,1,1,1,1
2226,2,1,1,1,1,1
3635306923521,68,4,1,1,5,1
51544978932220,1,83,1,1,1,1
547851,4,1,1,1,1,1
194,5,4,1,1,1,1
2,1,1,2,1,1,1
3842,87275,1,1,1,1,1
3344894831,1,1,1,1,1,1
610530531216286720,29,1,1,1,1,2
4494913026491,2,2,1,1,2,1
3611554190,90323,1,1,1,1,2
5896883,1,2,1,1,1,1
4652611667858977,98,3,1,1,2,2
1155889376325513,2,1,1,5,1,1
6,99,1,1,1,3,1
11375165316,170,3,1,1,1,1
1260400,15,2,1,2,1,1
410942372869,1,1,1,1,1,1
60408275414318,7,1,1,7,1,1
113978741939534,2,6,1,1,1,1
3055645226357451,13,1,2,1,1,1
22323506,16,14,1,2,1,1
85715314,1,3,1,1,1,1
879765118760494,1,1,1,1,1,1
219813403,2,1,2,1,1,1
3456556168156,35,46,3,1,2,1
1506589467257,1,2,1,1,1,1
237463990901284192,9,1,1,1,1,1
18,1,2,1,1,1,1
2824165879807177,1,1,1,1,1,1
214307845537943872,3,5,6,1,2,1
1,1,1,1,1,1,1
4,1,1,2,1,1,1
1,1,1,1,1,1,1
85451432369,1,1,1,1,2,1
2716033884,1,2,1,1,2,1
89698125933834336,7,1,1,1,1,1
3103406146,2,1,1,1,1,1
5556541599290,34,1,1,1,1,1
984624,1,10,1,3,1,1
4097816436299985,3,1,1,1,1,1
2912,1,1,3,1,1,1
215787560919825280,1,1,1,1,1,1
1515,5,1,1,1,1,1
378040192257022,2,1,1,2,1,1
2943418470427726848,3,1,1,1,2,1
1,2,3,1,1,1,1
2669038296852837,49,1,1,1,1,1
48538,1,2,1,1,1,1
13987754127175916,2,4,1,1,1,1
1,6,1,1,1,1,1
4905639179155,10,2,3,4,1,1
10621834223881918,2,1,1,1,1,1
1094289,37,2,1,1,1,1
4,3,2,1,1,2,1
815609126,3,1,1,1,5,1
14258548529311,4,38,2,1,1,1
15370467,1,1,1,1,1,1
6983,9,2,1,1,1,1
15120300666600846,3,1,1,1,1,1
3,1,2,1,1,1,1
193,2,2,1,2,1,1
283,2,1,1,1,1,1
69986,2,1,1,1,1,1
317962607675,80,1,3,1,2,1
8,765,6,1,1,1,1
17923017910,20,1,1,1,1,1
7863522807964552,2,1,1,1,1,1
1529,1,1,1,1,1,1
793,936,5,2,1,1,1
2619449,16,12,1,1,1,1
262998647527850400,669,1,3,1,1,1
6479,1,1,1,1,1,1
5296759355088,10,10,1,1,1,1
23477,1,1,1,1,1,1
1728,5,4,1,1,1,1
16718121532061,1,1,1,2,1,1
89552798,2,1,1,1,2,1
2,1,3,1,1,3,1
3539088774,1,1,1,4,1,1
48667940154678416,1,2,5,21,1,4
196667411727753984,1,1,1,1,1,1
4100292390931,1,1,2,1,1,1
148481,3,1,1,1,1,1
2243521593,1,3,1,1,1,1
33433919806,1,8,1,1,1,1
699318,6,6,2,1,1,1
10,52,1,1,1,2,1
1792,20,1,1,2,1,1
8196397,2,1,1,1,1,1
83,1,3,1,1,1,1
15168937,1,1,2,1,1,1
2710,2,1,1,1,1,1
10279912626128,2,2,1,1,1,1
4,1,25,2,1,1,1
676202222,9,1,1,1,1,2
218785,1,1,1,2,1,1
1640402,2,8,1,1,1,1
30796995448955,1,1,1,1,1,3
295737713,8,1,1,1,1,1
3207202978852,11,1,3,1,1,1
11556498984178336,2,1,2,1,1,1
30237730836,11,1,1,1,1,2
179029803025883584,3,3,1,1,1,1
15345478379837,1,1,1,1,1,1
2004403074568052,8,2,1,1,1,1
22374448587465840,1,1,1,1,3,1
14591882,68,6,2,1,1,1
124234,1,2,1,1,1,7
13,1,1,2,1,1,5
3274010028859749,4,2,1,1,1,1
253410860,1,1,1,1,2,1
3844051789350,151,1,1,2,1,1
5654200663015575,3,5,1,1,1,1
942,1,3,1,2,1,1
15142867721054818,2,1,1,1,1,1
262156757,1,2,10,1,1,1
3501815803931,1,2,2,1,1,1
2045643,1,1,1,1,1,1
23657530,1,1,1,1,1,1
25044629773659088,3,22,1,1,1,3
34983750,20,4,1,1,1,1
6007887525955462144,3,2,3,1,1,2
5023780250014162944,1,1,1,1,1,1
190408617,1,1,1,1,1,1
2171325207167109,4,9,1,1,2,1
1677270022738064,1,2,1,1,1,1
13675211599663894,1,2,1,1,1,1
40340008187969096,1,4,2,1,1,1
7114121089314254848,65608,1,2,1,1,1
5609231426126874624,873,1,1,1,1,1
350332,38,1,1,1,1,1
900,14,1,2,6,1,1
399738,4,1,1,1,2,1
179053731700324,6,2,1,1,1,1
793623075464168064,1,1,1,2,1,1
35992790716,3,37,1,1,1,1
607148,681,8,1,1,1,1
189710,1,1,1,2,1,1
249496786854657024,2,8,1,1,1,3
287590721,17,1,1,11,1,1
260559822499713504,1,1,1,1,1,2
1201803015503,4,1,1,1,2,1
24279370366,1,1,4,1,2,1
1267598902,1,395,1,1,8,1
10,1,1,2,1,1,1
899,1,1,1,1,1,1
17,2,2,1,1,1,1
34407215754412,2,1,1,1,1,1
977087876478240000,46,2,1,1,1,1
3971840508718394880,10,1,3,1,1,1
1847761087245826,2,1,1,1,1,1
43060155,17,1,1,1,1,1
3,2,7,1,2,1,1
5838822,2,2,1,1,1,1
4,2,8,1,2,1,1
54003,1,1,1,2,1,1
3278785,4,1,1,1,1,1
496674891854370,1,1,1,1,1,1
4382204,10,11,1,1,1,1
23645662990566,1,2,1,3,1,1
1222133632948,2,1,3,9,1,1
73895924,1,1,1,1,1,2
428,4,1,1,1,1,1
41027939,2,7,1,1,1,1
16,15,3,2,1,1,2
36640654,46,2,1,1,1,1
103204095538999984,53,2,1,2,1,1
27445054401,1,1,1,1,1,1
79,2,6,2,1,1,1
226489623267253,541,2,1,1,1,1
173864573536,1,1,1,2,1,1
17,149,1,2,1,1,1
240433,203,1,1,3,1,1
2,8,1,1,1,1,1
286246268,15,4,1,1,1,1
3625,11,2,1,1,1,1
21,2,1,1,1,1,1
10,14,2,1,1,1,1
11,3,1,1,1,1,1
35868,4,1,1,2,1,1
2824625278,56,4,2,2,1,1
3,2514,1,1,1,1,1
21604425588210188,1,1,1,1,1,1
6,3,13,1,1,1,1
242758465,733,1,1,1,1,1
780903956,3,1,1,1,1,1
61,1,2,1,1,1,1
7,1,1,1,1,1,1
313392,2,2,1,1,1,1
1811235581,1,1,1,1,1,1
21231289,1,1,1,1,1,1
20208,1,1,1,1,1,1
1861,32,1,34,1,2,1
319,2,1,1,1,1,1
10,6,1,1,1,1,3
195946243834,1,1,2,1,2,1
12711425389296890,4,1,1,1,3,1
154006843915520608,3,1,1,1,1,1
186,1,1,1,1,3,1
3499069404342,44,1,3,1,1,1
1588573129549888256,1,1,1,1,1,1
9208825318313,9,1,2,2,1,1
157,1,2,1,2,1,1
7573821397789,1,1,6,2,2,1
3734545869033902080,82,1,1,1,1,1
81,3,2,1,1,1,1
1276287776980,4,1,1,1,1,1
27555608411729,487,3,1,9,1,1
186,3,1,1,2,1,1
96276748513,41,10,1,1,1,1
63960428570107,1,109,17,2,1,1
265453258493,1,1,1,1,1,1
8570310147620337664,8,1,2,1,1,1
15041909528,96,1,1,1,19,1
1627520137,59,1,1,1,1,1
16485858,1,2,1,1,1,1
514928764413092,1,1,1,1,1,1
81268,1,7,1,4,1,1
546,5,1,1,1,1,1
1149525836639329408,1,1,1,1,1,1
5962294368467,1,2,5,1,1,2
366,3,1,1,4,1,1
42650062305458136,1,1,1,3,1,1
26,2,1,1,3,1,1
19249,135,25,1,2,1,2
2658299994263,5,1,1,1,1,1
2641038560,1,1,2,2,1,1
45066798404995024,632,1,1,3,1,1
5285,8,1,1,3,1,1
132385137988272656,9,2,2,1,1,1
237363896029358,11,3,1,1,3,1
330,77,1,1,1,1,1
5145715867457,1,1,4,1,2,2
227444386546892768,1,2,1,1,4,1
25,1,1,1,1,1,1
1023,1,2,1,1,2,1
336338,121,1,3,1,1,1
199798188453524,15,1,1,1,1,1
595982592360,45,1,1,1,1,1
1009585487841268,2,3,1,1,1,1
214645796504,1,2,2,1,1,1
11,2,1,1,1,1,1
4534867384062204928,39,1,1,2,1,1
2,1,1,1,1,1,1
2428016883989,1,30,1,1,1,1
3407661088,11,1,1,2,2,1
1,1,2,1,1,1,1
694746899659381632,1,1,1,1,1,1
9994307859644296,15,4,2,1,1,1
27663,3,3,8,1,1,1
2014013771089,150,1,1,1,1,1
1408436593483367,1,1,2,3,1,1
10,8,1,1,3,1,1
1840781246,16,1,1,1,1,1
100713926764,3,1,1,1,22,1
6413,1,1,1,1,2,1
9082721862300172,1,8,1,1,1,1
55116,1,2,16,1,2,1
1,16,1,1,25,1,1
1775644,126,1,1,1,1,1
1,1,1,1,1,1,1
2139301041447927,2,2,1,2,1,1
3,34,1,1,1,1,1
44822,42,1,2,1,1,1
10040774519086,2,3,1,1,2,1
121179050,4,1,1,1,1,1
987821766683420,3,1,1,1,1,1
3361989034,1,2,2,1,1,1
5169058539166295,1,1,1,1,1,1
29,1,2,1,1,1,1
2122142695517329920,2,6,1,4,1,1
42,2,1,1,1,1,1
5861,1,11,1,1,1,1
35415832138021,8,76,1,1,1,1
4457938,2,2,1,1,1,1
5,1,1,1,1,1,1
34461555534,9,3,1,6,1,1
70050864144,26,1,1,1,1,1
23396256943537252,1,19,2,1,1,1
1017439490461249536,1,1,1,1,1,1
1073755765401682304,1,1,1,1,1,1
133739252853536,3,1,1,1,1,1
5326,1,8,1,2,1,1
15245582,1,4,4,1,1,1
21,2,1,1,2,1,1
3996616244,117,3,1,1,1,1
78957,1,1,1,1,1,1
11196263,50,1,1,1,1,1
16510,463,1,34,1,1,1
514182,13,1,1,1,2,1
731,2,8,1,1,2,1
6241,1,1,5,1,1,1
66677080311444688,2,1,2,1,1,1
4261692432658834944,1,50,4,1,1,1
2,8,1,3,1,1,1
37200592977343,2,1,2,1,1,1
46237,1,1,1,1,1,1
129820507536,1,1,1,1,1,2
103898024077947,263,1,6,1,1,1
27375990101,37,1,1,1,2,1
7,1,1,1,4,2,1
6892,1,1,1,1,1,1
77372,25,3,1,1,1,1
843676522186577664,1,1,1,1,1,1
122711267987376,1,1,1,1,5,1
1654658130450986,3,1,3,2,1,1
629266873,2,1,1,1,1,1
5266413775938620416,1,2,3,3,1,1
25382990304589436,1,2,2,1,1,1
920428161673841,1,1,1,1,1,1
25807,1,1,2,1,1,1
1262072491023940,39,3,1,1,1,1
910848771204018,10,1,1,1,1,1
296923402921760448,1,1,1,1,1,1
14591082862,2,37,1,2,1,1
120880620576578,1,1,1,1,1,1
5,20,1,1,1,2,1
3198723954563515904,2185,1,1,2,1,1
17605578602,1,1,1,1,1,1
997022751128337,3,3,1,1,1,1
470557,15,1,1,1,1,1
543738936128,9,1,1,1,2,1
1225406045,2,2,2,1,1,1
10,1,4,1,2,1,1
19160593,1,1,1,1,1,1
223953395248856,4,1,1,2,1,1
664,3,1,1,2,1,2
1,1,3,1,1,5,3
10758497243915,2,1,1,1,1,1
1114765,1,1,3,2,1,2
53,14,1,3,1,1,1
2959203540,1,1,1,2,1,1
1747579889160118272,1,3,1,1,1,1
6,50,1,3,4,5,1
809978,1,1,1,1,1,1
1428,4,1,1,8,1,1
2642965459043821056,17,1,1,1,1,1
1653907329,13,4,1,1,1,1
309059437694174,2,1,1,1,1,1
46351283648581,1,1,2,1,1,1
8526045,1,1,1,1,1,1
138696660,1,2,1,1,1,1
1219486029511175680,10,2,1,1,1,1
34624,228,9,1,1,1,1
1200444,1,10,1,1,1,1
1246359317,7,1,10,1,1,1
361709328841684,4,1,1,1,2,1
1179,106,2,2,1,1,1
494872591325996,9,1,1,1,1,1
92947197,1,11,1,1,1,1
5,5,1,1,1,1,1
192029050551358,1,4,3,1,2,1
182595501452,123,2,1,1,1,1
1969255975699124736,49,7,1,2,1,1
1196852662056003840,9,2,1,1,8,1
421230458,2,1,1,1,1,1
62942698535574,1,8,1,1,1,1
53675,1,3,2,1,1,1
366106415,19,3,1,1,1,1
32770949,1,1,1,1,1,1
2770966175291729920,2,1,1,2,1,1
1,1,1,2,1,1,1
5845784443813282,2,1,1,1,1,1
3314249612861266944,2,3,1,3,1,1
96,1,1,1,1,1,1
5862623279396,1,1,1,1,1,1
8344859982,1,1,1,1,1,1
59576418432661112,1,1,1,1,1,2
880190004058,1,1,1,1,1,1
124336315536587088,1,1,1,1,1,1
3963250189,3,1,1,2,1,1
4,4,1,2,1,1,1
133,1,1,1,1,1,1
42,41,1,1,1,1,1
15955351,1,3,3,2,1,1
255927659189110624,3,1,1,1,1,1
323,12,4,1,2,1,1
159898243271,3,1,1,2,1,1
2439495448773634,1,1,1,1,1,1
450215819338462208,2,8,7,1,1,1
1204699,1,1,1,2,1,1
148762566187705440,11,1,1,1,1,1
6622,4,5,1,1,1,3
420,1,1,4,2,1,1
6664586,1,2,1,6,1,1
323417062946872,1,1,1,1,1,1
3727080,10,1,1,1,1,1
2,3,1,3,1,1,1
1609083120639662,1,1,1,2,1,1
20,1,5,1,1,1,1
3307878298,3,1,1,1,1,1
1220,1492,1,1,1,1,1
4651647,3,1,1,1,1,1
4452368,15,1,2,1,1,1
23270499361,1,1,1,1,1,1
8854107412233886720,1,1,1,1,1,1
124,4,1,1,1,1,1
2493,31,2,4,1,2,1
3886,17,1,1,1,1,1
1,1,3,2,1,1,1
427,7,7,3,4,1,1
5665,2,1,1,1,3,1
64,10,1,1,1,1,1
146730,2,1,1,1,1,1
2,2,1,2,1,1,1
10051686755365,43,2,1,1,1,1
288113283161,12,7,1,1,2,1
224970405,2,2,2,1,1,1
46631682648815,644,1,1,1,1,1
3294245305910053376,1,1,1,1,1,2
23541000,6,1,1,1,1,1
215494096964191136,1,2,3,1,1,1
3213853008650758656,1,1,2,1,1,2
2675894,23,1,1,1,1,1
2,2,1,1,1,1,1
8,302,1,1,1,1,1
252518957115926912,3,2,1,2,1,1
1,2,1,1,1,1,1
4,25,2,3,1,4,1
3495675010275,1,1,2,1,1,1
2043406794,1,4,3,1,1,1
2998,3,1,1,1,1,1
2315936,155626,3,3,1,1,1
705932,1,1,2,1,1,1
1179388512732,1,3,1,1,1,1
4125430,1,2,1,3,1,1
112,2,2,4,1,1,1
