mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
30,4,98,68,2155,16.5,78,1,"""chevrolet chevette"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
26,4,98,79,2255,17.7,76,1,"""dodge colt"""
15,6,258,110,3730,19,75,1,"""amc matador"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
33,4,105,74,2190,14.2,81,2,"""volkswagen jetta"""
14,8,318,150,4237,14.5,73,1,"""plymouth fury gran sedan"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
28,4,112,88,2605,19.6,82,1,"""chevrolet cavalier"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
24,4,134,96,2702,13.5,75,3,"""toyota corona"""
30,4,97,67,1985,16.4,77,3,"""subaru dl"""
15,6,250,72,3432,21,75,1,"""mercury monarch"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
15,8,350,145,4082,13,73,1,"""chevrolet monte carlo s"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
22.3,4,140,88,2890,17.3,79,1,"""ford fairmont 4"""
17,6,163,125,3140,13.6,78,2,"""volvo 264gl"""
33.7,4,107,75,2210,14.4,81,3,"""honda prelude"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
24,4,119,97,2545,17,75,3,"""datsun 710"""
18.6,6,225,110,3620,18.7,78,1,"""dodge aspen"""
12,8,400,167,4906,12.5,73,1,"""ford country"""
37,4,91,68,2025,18.2,82,3,"""mazda glc custom l"""
18,6,250,88,3139,14.5,71,1,"""ford mustang"""
16,8,318,150,4498,14.5,75,1,"""plymouth grand fury"""
17.5,8,305,140,4215,13,76,1,"""chevrolet chevelle malibu classic"""
26,4,156,92,2585,14.5,82,1,"""chrysler lebaron medallion"""
18,6,225,105,3613,16.5,74,1,"""plymouth satellite sebring"""
39,4,86,64,1875,16.4,81,1,"""plymouth champ"""
14,8,351,153,4154,13.5,71,1,"""ford galaxie 500"""
37.7,4,89,62,2050,17.3,81,3,"""toyota tercel"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
28,4,107,86,2464,15.5,76,2,"""fiat 131"""
12,8,350,180,4499,12.5,73,1,"""oldsmobile vista cruiser"""
22,6,232,112,2835,14.7,82,1,"""ford granada l"""
18,6,250,88,3139,14.5,71,1,"""ford mustang"""
23.9,8,260,90,3420,22.2,79,1,"""oldsmobile cutlass salon brougham"""
17.5,6,250,110,3520,16.4,77,1,"""chevrolet concours"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
26,4,79,67,1963,15.5,74,2,"""volkswagen dasher"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
24,4,119,97,2545,17,75,3,"""datsun 710"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
22,6,225,100,3233,15.4,76,1,"""plymouth valiant"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
31,4,79,67,1950,19,74,3,"""datsun b210"""
25,6,181,110,2945,16.4,82,1,"""buick century limited"""
37.3,4,91,69,2130,14.7,79,2,"""fiat strada custom"""
23,4,122,86,2220,14,71,1,"""mercury capri 2000"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
30,4,135,84,2385,12.9,81,1,"""plymouth reliant"""
24.2,6,146,120,2930,13.8,81,3,"""datsun 810 maxima"""
20.6,6,225,110,3360,16.6,79,1,"""dodge aspen 6"""
13,8,350,165,4274,12,72,1,"""chevrolet impala"""
44.6,4,91,67,1850,13.8,80,3,"""honda civic 1500 gl"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
15.5,8,350,170,4165,11.4,77,1,"""chevrolet monte carlo landau"""
12,8,429,198,4952,11.5,73,1,"""mercury marquis brougham"""
14,8,351,153,4129,13,72,1,"""ford galaxie 500"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
15,8,318,150,3399,11,73,1,"""dodge dart custom"""
15,8,318,150,3399,11,73,1,"""dodge dart custom"""
28,4,97,75,2155,16.4,76,3,"""toyota corolla"""
21,4,122,86,2226,16.5,72,1,"""ford pinto runabout"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
13,8,350,145,3988,13,73,1,"""chevrolet malibu"""
13,8,302,140,4294,16,72,1,"""ford gran torino (sw)"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
13,8,351,158,4363,13,73,1,"""ford ltd"""
34.7,4,105,63,2215,14.9,81,1,"""plymouth horizon 4"""
20,6,232,100,2914,16,75,1,"""amc gremlin"""
46.6,4,86,65,2110,17.9,80,3,"""mazda glc"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
14,8,400,175,4385,12,72,1,"""pontiac catalina"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
17,8,304,150,3672,11.5,72,1,"""amc ambassador sst"""
28.4,4,151,90,2670,16,79,1,"""buick skylark limited"""
31.9,4,89,71,1925,14,79,2,"""vw rabbit custom"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
15,8,429,198,4341,10,70,1,"""ford galaxie 500"""
19.4,6,232,90,3210,17.2,78,1,"""amc concord"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
28,4,140,90,2264,15.5,71,1,"""chevrolet vega 2300"""
26.4,4,140,88,2870,18.1,80,1,"""ford fairmont"""
23,4,140,83,2639,17,75,1,"""ford pinto"""
19.8,6,200,85,2990,18.2,79,1,"""mercury zephyr 6"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
26,4,156,92,2585,14.5,82,1,"""chrysler lebaron medallion"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
44.6,4,91,67,1850,13.8,80,3,"""honda civic 1500 gl"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
25.1,4,140,88,2720,15.4,78,1,"""ford fairmont (man)"""
30,4,146,67,3250,21.8,80,2,"""mercedes-benz 240d"""
16.5,6,168,120,3820,16.7,76,2,"""mercedes-benz 280s"""
23,4,122,86,2220,14,71,1,"""mercury capri 2000"""
28.1,4,141,80,3230,20.4,81,2,"""peugeot 505s turbo diesel"""
21,6,231,110,3039,15,75,1,"""buick skyhawk"""
13,8,302,129,3169,12,75,1,"""ford mustang ii"""
21,6,200,85,2587,16,70,1,"""ford maverick"""
16,6,258,110,3632,18,74,1,"""amc matador"""
19.2,6,231,105,3535,19.2,78,1,"""pontiac phoenix lj"""
21,6,200,85,2587,16,70,1,"""ford maverick"""
29.8,4,134,90,2711,15.5,80,3,"""toyota corona liftback"""
37.3,4,91,69,2130,14.7,79,2,"""fiat strada custom"""
33,4,105,74,2190,14.2,81,2,"""volkswagen jetta"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
19.2,8,305,145,3425,13.2,78,1,"""chevrolet monte carlo landau"""
17,6,231,110,3907,21,75,1,"""buick century"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
21.1,4,134,95,2515,14.8,78,3,"""toyota celica gt liftback"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
36,4,135,84,2370,13,82,1,"""dodge charger 2.2"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
16,6,258,110,3632,18,74,1,"""amc matador"""
36,4,79,58,1825,18.6,77,2,"""renault 5 gtl"""
14,8,350,165,4209,12,71,1,"""chevrolet impala"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
30,4,135,84,2385,12.9,81,1,"""plymouth reliant"""
26,4,122,80,2451,16.5,74,1,"""ford pinto"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
23,8,350,125,3900,17.4,79,1,"""cadillac eldorado"""
36.4,5,121,67,2950,19.9,80,2,"""audi 5000s (diesel)"""
36.1,4,91,60,1800,16.4,78,3,"""honda civic cvcc"""
24,4,134,96,2702,13.5,75,3,"""toyota corona"""
34.7,4,105,63,2215,14.9,81,1,"""plymouth horizon 4"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
25.5,4,122,96,2300,15.5,77,1,"""plymouth arrow gs"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
20,8,262,110,3221,13.5,75,1,"""chevrolet monza 2+2"""
15,8,318,150,4135,13.5,72,1,"""plymouth fury iii"""
30,4,146,67,3250,21.8,80,2,"""mercedes-benz 240d"""
28.4,4,151,90,2670,16,79,1,"""buick skylark limited"""
17.5,6,250,110,3520,16.4,77,1,"""chevrolet concours"""
14,8,350,165,4209,12,71,1,"""chevrolet impala"""
28,4,140,90,2264,15.5,71,1,"""chevrolet vega 2300"""
25,6,181,110,2945,16.4,82,1,"""buick century limited"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
23.8,4,151,85,2855,17.6,78,1,"""oldsmobile starfire sx"""
30,4,146,67,3250,21.8,80,2,"""mercedes-benz 240d"""
19.2,8,305,145,3425,13.2,78,1,"""chevrolet monte carlo landau"""
32.4,4,108,75,2350,16.8,81,3,"""toyota corolla"""
14,8,340,160,3609,8,70,1,"""plymouth 'cuda 340"""
18,6,250,88,3139,14.5,71,1,"""ford mustang"""
23,4,120,97,2506,14.5,72,3,"""toyouta corona mark ii (sw)"""
17,8,304,150,3672,11.5,72,1,"""amc ambassador sst"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
33.7,4,107,75,2210,14.4,81,3,"""honda prelude"""
33,4,91,53,1795,17.4,76,3,"""honda civic"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
20.5,6,225,100,3430,17.2,78,1,"""plymouth volare"""
15,6,258,110,3730,19,75,1,"""amc matador"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
36,4,135,84,2370,13,82,1,"""dodge charger 2.2"""
31.3,4,120,75,2542,17.5,80,3,"""mazda 626"""
14,8,340,160,3609,8,70,1,"""plymouth 'cuda 340"""
23,4,97,54,2254,23.5,72,2,"""volkswagen type 3"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
25.5,4,140,89,2755,15.8,77,1,"""ford mustang ii 2+2"""
25,6,181,110,2945,16.4,82,1,"""buick century limited"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
11,8,429,208,4633,11,72,1,"""mercury marquis"""
18,6,250,105,3459,16,75,1,"""chevrolet nova"""
13,8,360,175,3821,11,73,1,"""amc ambassador brougham"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
18.5,6,250,110,3645,16.2,76,1,"""pontiac ventura sj"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
19.4,8,318,140,3735,13.2,78,1,"""dodge diplomat"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
18.5,6,250,98,3525,19,77,1,"""ford granada"""
12,8,350,180,4499,12.5,73,1,"""oldsmobile vista cruiser"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
15,8,350,165,3693,11.5,70,1,"""buick skylark 320"""
37,4,91,68,2025,18.2,82,3,"""mazda glc custom l"""
19.2,8,305,145,3425,13.2,78,1,"""chevrolet monte carlo landau"""
22,4,140,72,2408,19,71,1,"""chevrolet vega (sw)"""
32,4,135,84,2295,11.6,82,1,"""dodge rampage"""
26.6,4,151,84,2635,16.4,81,1,"""buick skylark"""
19.8,6,200,85,2990,18.2,79,1,"""mercury zephyr 6"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
30,4,135,84,2385,12.9,81,1,"""plymouth reliant"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
10,8,307,200,4376,15,70,1,"""chevy c20"""
27.2,4,141,71,3190,24.8,79,2,"""peugeot 504"""
15,6,258,110,3730,19,75,1,"""amc matador"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
14,8,302,140,4638,16,74,1,"""ford gran torino (sw)"""
35.1,4,81,60,1760,16.1,81,3,"""honda civic 1300"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
14,8,318,150,4077,14,72,1,"""plymouth satellite custom (sw)"""
15,8,318,150,3399,11,73,1,"""dodge dart custom"""
27.2,4,119,97,2300,14.7,78,3,"""datsun 510"""
14,8,318,150,4077,14,72,1,"""plymouth satellite custom (sw)"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
16,8,400,180,4220,11.1,77,1,"""pontiac grand prix lj"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
11,8,350,180,3664,11,73,1,"""oldsmobile omega"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
19.4,8,318,140,3735,13.2,78,1,"""dodge diplomat"""
15,6,250,72,3432,21,75,1,"""mercury monarch"""
17,6,231,110,3907,21,75,1,"""buick century"""
20.5,6,225,100,3430,17.2,78,1,"""plymouth volare"""
20.2,6,232,90,3265,18.2,79,1,"""amc concord dl 6"""
32.3,4,97,67,2065,17.8,81,3,"""subaru"""
23.9,8,260,90,3420,22.2,79,1,"""oldsmobile cutlass salon brougham"""
28,4,112,88,2605,19.6,82,1,"""chevrolet cavalier"""
25,4,116,81,2220,16.9,76,2,"""opel 1900"""
28,4,151,90,2678,16.5,80,1,"""chevrolet citation"""
13,8,360,175,3821,11,73,1,"""amc ambassador brougham"""
25,4,121,115,2671,13.5,75,2,"""saab 99le"""
25,4,121,115,2671,13.5,75,2,"""saab 99le"""
24,4,119,97,2545,17,75,3,"""datsun 710"""
18.5,6,250,98,3525,19,77,1,"""ford granada"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
21.5,6,231,115,3245,15.4,79,1,"""pontiac lemans v6"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
16,6,250,105,3897,18.5,75,1,"""chevroelt chevelle malibu"""
23,4,120,88,2957,17,75,2,"""peugeot 504"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
31.9,4,89,71,1925,14,79,2,"""vw rabbit custom"""
20,6,232,100,2914,16,75,1,"""amc gremlin"""
32.4,4,108,75,2350,16.8,81,3,"""toyota corolla"""
22,6,250,105,3353,14.5,76,1,"""chevrolet nova"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
24,4,121,110,2660,14,73,2,"""saab 99le"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
26,4,156,92,2585,14.5,82,1,"""chrysler lebaron medallion"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
25,4,110,87,2672,17.5,70,2,"""peugeot 504"""
16,8,318,150,4190,13,76,1,"""dodge coronet brougham"""
25.5,4,122,96,2300,15.5,77,1,"""plymouth arrow gs"""
25,4,113,95,2228,14,71,3,"""toyota corona"""
27,4,151,90,2950,17.3,82,1,"""chevrolet camaro"""
25,4,104,95,2375,17.5,70,2,"""saab 99e"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
21,6,200,85,2587,16,70,1,"""ford maverick"""
20,8,262,110,3221,13.5,75,1,"""chevrolet monza 2+2"""
11,8,350,180,3664,11,73,1,"""oldsmobile omega"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
14,8,340,160,3609,8,70,1,"""plymouth 'cuda 340"""
30.7,6,145,76,3160,19.6,81,2,"""volvo diesel"""
18,6,250,105,3459,16,75,1,"""chevrolet nova"""
19,4,122,85,2310,18.5,73,1,"""ford pinto"""
23,4,97,54,2254,23.5,72,2,"""volkswagen type 3"""
26,4,96,69,2189,18,72,2,"""renault 12 (sw)"""
20.5,6,200,95,3155,18.2,78,1,"""chevrolet malibu"""
40.8,4,85,65,2110,19.2,80,3,"""datsun 210"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
16.5,8,351,138,3955,13.2,79,1,"""mercury grand marquis"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
17,6,231,110,3907,21,75,1,"""buick century"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
37,4,91,68,2025,18.2,82,3,"""mazda glc custom l"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
20.5,6,231,105,3425,16.9,77,1,"""buick skylark"""
16,6,258,110,3632,18,74,1,"""amc matador"""
14,8,350,165,4209,12,71,1,"""chevrolet impala"""
14,8,340,160,3609,8,70,1,"""plymouth 'cuda 340"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
16,8,400,180,4220,11.1,77,1,"""pontiac grand prix lj"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
18,6,232,100,2945,16,73,1,"""amc hornet"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
34.7,4,105,63,2215,14.9,81,1,"""plymouth horizon 4"""
24,4,121,110,2660,14,73,2,"""saab 99le"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
23,8,350,125,3900,17.4,79,1,"""cadillac eldorado"""
35.1,4,81,60,1760,16.1,81,3,"""honda civic 1300"""
17.5,8,305,145,3880,12.5,77,1,"""chevrolet caprice classic"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
17.5,8,305,145,3880,12.5,77,1,"""chevrolet caprice classic"""
16,8,351,149,4335,14.5,77,1,"""ford thunderbird"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
14,8,351,148,4657,13.5,75,1,"""ford ltd"""
17,6,231,110,3907,21,75,1,"""buick century"""
27,4,151,90,2950,17.3,82,1,"""chevrolet camaro"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
31.9,4,89,71,1925,14,79,2,"""vw rabbit custom"""
23.2,4,156,105,2745,16.7,78,1,"""plymouth sapporo"""
23,4,122,86,2220,14,71,1,"""mercury capri 2000"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
10,8,360,215,4615,14,70,1,"""ford f250"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
16,6,250,105,3897,18.5,75,1,"""chevroelt chevelle malibu"""
29.8,4,134,90,2711,15.5,80,3,"""toyota corona liftback"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
14,8,318,150,4096,13,71,1,"""plymouth fury iii"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
19.9,8,260,110,3365,15.5,78,1,"""oldsmobile cutlass salon brougham"""
27,4,151,90,2735,18,82,1,"""pontiac phoenix"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
21,4,120,87,2979,19.5,72,2,"""peugeot 504 (sw)"""
28,4,140,90,2264,15.5,71,1,"""chevrolet vega 2300"""
36,4,135,84,2370,13,82,1,"""dodge charger 2.2"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
14,8,318,150,4237,14.5,73,1,"""plymouth fury gran sedan"""
10,8,360,215,4615,14,70,1,"""ford f250"""
14,8,318,150,4077,14,72,1,"""plymouth satellite custom (sw)"""
24.2,6,146,120,2930,13.8,81,3,"""datsun 810 maxima"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
34.4,4,98,65,2045,16.2,81,1,"""ford escort 4w"""
23,8,350,125,3900,17.4,79,1,"""cadillac eldorado"""
22,6,146,97,2815,14.5,77,3,"""datsun 810"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
36,4,79,58,1825,18.6,77,2,"""renault 5 gtl"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
22,4,121,98,2945,14.5,75,2,"""volvo 244dl"""
39,4,86,64,1875,16.4,81,1,"""plymouth champ"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
16,8,302,140,4141,14,74,1,"""ford gran torino"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
38.1,4,89,60,1968,18.8,80,3,"""toyota corolla tercel"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
21.5,3,80,110,2720,13.5,77,3,"""mazda rx-4"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
20,8,262,110,3221,13.5,75,1,"""chevrolet monza 2+2"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
34.4,4,98,65,2045,16.2,81,1,"""ford escort 4w"""
18.6,6,225,110,3620,18.7,78,1,"""dodge aspen"""
28,4,107,86,2464,15.5,76,2,"""fiat 131"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
13,8,350,145,4055,12,76,1,"""chevy c10"""
22,6,250,105,3353,14.5,76,1,"""chevrolet nova"""
18.6,6,225,110,3620,18.7,78,1,"""dodge aspen"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
27,4,97,88,2130,14.5,70,3,"""datsun pl510"""
18,6,225,105,3613,16.5,74,1,"""plymouth satellite sebring"""
13,8,440,215,4735,11,73,1,"""chrysler new yorker brougham"""
27,4,101,83,2202,15.3,76,2,"""renault 12tl"""
23,4,120,97,2506,14.5,72,3,"""toyouta corona mark ii (sw)"""
13,8,307,130,4098,14,72,1,"""chevrolet chevelle concours (sw)"""
30,4,79,70,2074,19.5,71,2,"""peugeot 304"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
28.1,4,141,80,3230,20.4,81,2,"""peugeot 505s turbo diesel"""
23,6,198,95,2904,16,73,1,"""plymouth duster"""
17,6,231,110,3907,21,75,1,"""buick century"""
21.5,3,80,110,2720,13.5,77,3,"""mazda rx-4"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
32,4,144,96,2665,13.9,82,3,"""toyota celica gt"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
37,4,91,68,2025,18.2,82,3,"""mazda glc custom l"""
32,4,83,61,2003,19,74,3,"""datsun 710"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
15,6,250,72,3158,19.5,75,1,"""ford maverick"""
17.5,8,305,140,4215,13,76,1,"""chevrolet chevelle malibu classic"""
28,4,98,80,2164,15,72,1,"""dodge colt (sw)"""
19,6,232,100,2901,16,74,1,"""amc hornet"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
16.5,8,351,138,3955,13.2,79,1,"""mercury grand marquis"""
15,6,250,72,3432,21,75,1,"""mercury monarch"""
23.9,8,260,90,3420,22.2,79,1,"""oldsmobile cutlass salon brougham"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
30,4,97,67,1985,16.4,77,3,"""subaru dl"""
40.8,4,85,65,2110,19.2,80,3,"""datsun 210"""
17.5,8,305,145,3880,12.5,77,1,"""chevrolet caprice classic"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
32.9,4,119,100,2615,14.8,81,3,"""datsun 200sx"""
15,8,429,198,4341,10,70,1,"""ford galaxie 500"""
29,4,90,70,1937,14,75,2,"""volkswagen rabbit"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
36,4,135,84,2370,13,82,1,"""dodge charger 2.2"""
24.2,6,146,120,2930,13.8,81,3,"""datsun 810 maxima"""
14,8,400,175,4385,12,72,1,"""pontiac catalina"""
43.1,4,90,48,1985,21.5,78,2,"""volkswagen rabbit custom diesel"""
27,4,151,90,2735,18,82,1,"""pontiac phoenix"""
