instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
16732,2012-12-04,4,1,12,22,0,2,1,2,0.5,0.4848,0.63,0.2985,26,155,181
4383,2011-07-06,3,0,7,12,0,3,1,2,0.74,0.697,0.66,0.0896,38,114,152
5947,2011-09-10,3,0,9,7,0,6,0,1,0.6,0.5455,0.88,0.1343,9,43,52
3806,2011-06-12,2,0,6,11,0,0,0,1,0.78,0.7273,0.55,0.1045,131,236,367
7389,2011-11-09,4,0,11,11,0,3,1,1,0.46,0.4545,0.67,0.1642,21,131,152
16422,2012-11-21,4,1,11,23,0,3,1,1,0.32,0.3485,0.61,0,7,50,57
9245,2012-01-26,1,1,1,2,0,4,1,2,0.28,0.2727,0.75,0.1642,1,6,7
7474,2011-11-13,4,0,11,0,0,0,0,2,0.4,0.4091,0.58,0.194,12,61,73
5582,2011-08-25,3,0,8,11,0,4,1,3,0.7,0.6667,0.79,0,39,112,151
5022,2011-08-02,3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5
9729,2012-02-15,1,1,2,7,0,3,1,2,0.3,0.2879,0.65,0.194,3,318,321
15050,2012-09-24,4,1,9,6,0,1,1,1,0.46,0.4545,0.59,0,6,162,168
12136,2012-05-25,2,1,5,20,0,5,1,1,0.7,0.6515,0.65,0.1642,80,270,350
16957,2012-12-14,4,1,12,7,0,5,1,1,0.2,0.2121,0.72,0.1045,3,305,308
15481,2012-10-12,4,1,10,5,0,5,1,1,0.36,0.3636,0.81,0.0896,2,33,35
9776,2012-02-17,1,1,2,6,0,5,1,2,0.28,0.2879,0.96,0.1343,1,70,71
11811,2012-05-12,2,1,5,7,0,6,0,1,0.42,0.4242,0.71,0.1343,10,57,67
9286,2012-01-27,1,1,1,19,0,5,1,1,0.36,0.3333,0.5,0.3881,10,241,251
14069,2012-08-14,3,1,8,9,0,2,1,2,0.7,0.6667,0.74,0,48,354,402
4761,2011-07-22,3,0,7,6,0,5,1,1,0.76,0.7424,0.75,0.0896,13,83,96
7976,2011-12-03,4,0,12,23,0,6,0,1,0.3,0.303,0.7,0.1343,12,73,85
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
14072,2012-08-14,3,1,8,12,0,2,1,1,0.78,0.7121,0.49,0.1343,93,207,300
15283,2012-10-03,4,1,10,23,0,3,1,2,0.66,0.6061,0.78,0,21,199,220
12390,2012-06-05,2,1,6,10,0,2,1,2,0.52,0.5,0.63,0.2985,58,118,176
11512,2012-04-29,2,1,4,20,0,0,0,1,0.56,0.5303,0.32,0.0896,45,198,243
11568,2012-05-02,2,1,5,4,0,3,1,1,0.54,0.5152,0.88,0,2,2,4
16862,2012-12-10,4,1,12,8,0,1,1,2,0.42,0.4242,1,0.2537,9,575,584
920,2011-02-10,1,0,2,20,0,4,1,1,0.14,0.1818,0.31,0.0896,4,93,97
8019,2011-12-05,4,0,12,18,0,1,1,1,0.44,0.4394,0.77,0,13,386,399
11751,2012-05-09,2,1,5,19,0,3,1,3,0.5,0.4848,0.77,0.3582,2,96,98
3218,2011-05-18,2,0,5,23,0,3,1,1,0.52,0.5,0.94,0.0896,10,49,59
11209,2012-04-17,2,1,4,5,0,2,1,1,0.6,0.6212,0.53,0.2537,1,29,30
16495,2012-11-25,4,1,11,0,0,0,0,1,0.22,0.2121,0.47,0.2537,3,31,34
13783,2012-08-02,3,1,8,11,0,4,1,1,0.82,0.7727,0.52,0.1045,59,167,226
14411,2012-08-28,3,1,8,15,0,2,1,1,0.82,0.7273,0.34,0.2985,59,258,317
9150,2012-01-22,1,1,1,3,0,0,0,2,0.18,0.1667,0.69,0.2836,1,20,21
14052,2012-08-13,3,1,8,16,0,1,1,1,0.8,0.7121,0.36,0.0896,116,348,464
3264,2011-05-20,2,0,5,21,0,5,1,1,0.56,0.5303,0.64,0.1045,40,155,195
11360,2012-04-23,2,1,4,12,0,1,1,3,0.34,0.303,0.71,0.3582,12,117,129
3984,2011-06-19,2,0,6,21,0,0,0,1,0.68,0.6364,0.79,0.1343,57,110,167
12076,2012-05-23,2,1,5,8,0,3,1,1,0.58,0.5455,0.83,0,38,681,719
8775,2012-01-06,1,1,1,10,0,5,1,1,0.26,0.2576,0.65,0.194,14,102,116
6239,2011-09-22,3,0,9,12,0,4,1,2,0.66,0.6061,0.83,0.1642,25,151,176
16676,2012-12-02,4,1,12,14,0,0,0,1,0.44,0.4394,0.62,0.2537,142,331,473
2982,2011-05-09,2,0,5,3,0,1,1,1,0.46,0.4545,0.82,0.0896,0,7,7
3488,2011-05-30,2,0,5,5,1,1,0,2,0.62,0.5455,0.94,0.1045,1,6,7
5232,2011-08-10,3,0,8,21,0,3,1,1,0.76,0.6667,0.33,0.1045,47,162,209
1547,2011-03-09,1,0,3,19,0,3,1,2,0.34,0.303,0.76,0.3284,11,123,134
12397,2012-06-05,2,1,6,17,0,2,1,1,0.6,0.6212,0.43,0,86,764,850
3140,2011-05-15,2,0,5,17,0,0,0,3,0.56,0.5303,0.78,0.3582,137,255,392
4616,2011-07-16,3,0,7,5,0,6,0,1,0.58,0.5455,0.78,0.0896,4,6,10
5971,2011-09-11,3,0,9,7,0,0,0,1,0.6,0.5455,0.88,0,9,28,37
15324,2012-10-05,4,1,10,16,0,5,1,1,0.72,0.6515,0.37,0,153,481,634
13807,2012-08-03,3,1,8,11,0,5,1,2,0.84,0.7879,0.49,0.2836,77,186,263
13347,2012-07-15,3,1,7,7,0,0,0,1,0.7,0.6667,0.79,0.0896,17,30,47
13633,2012-07-27,3,1,7,5,0,5,1,1,0.7,0.6667,0.84,0,3,34,37
7686,2011-11-21,4,0,11,20,0,1,1,3,0.4,0.4091,0.87,0.2239,5,75,80
2903,2011-05-05,2,0,5,20,0,4,1,1,0.5,0.4848,0.34,0.1642,33,225,258
3966,2011-06-19,2,0,6,3,0,0,0,2,0.66,0.6061,0.78,0.1343,14,16,30
5700,2011-08-30,3,0,8,22,0,2,1,1,0.62,0.6061,0.61,0,22,121,143
1626,2011-03-13,1,0,3,6,0,0,0,1,0.34,0.3636,0.66,0,0,2,2
12459,2012-06-08,2,1,6,7,0,5,1,1,0.52,0.5,0.72,0.1045,19,409,428
1031,2011-02-15,1,0,2,15,0,2,1,1,0.34,0.3333,0.19,0.1642,11,74,85
1963,2011-03-27,2,0,3,14,0,0,0,1,0.32,0.3182,0.36,0.1642,61,103,164
8643,2011-12-31,1,0,12,21,0,6,0,1,0.4,0.4091,0.58,0.194,2,50,52
307,2011-01-14,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0,0,17,17
4365,2011-07-05,3,0,7,18,0,2,1,1,0.8,0.7576,0.55,0.1642,70,426,496
3209,2011-05-18,2,0,5,14,0,3,1,2,0.58,0.5455,0.78,0.2836,44,94,138
13411,2012-07-17,3,1,7,23,0,2,1,1,0.78,0.7424,0.59,0.194,22,139,161
4041,2011-06-22,3,0,6,6,0,3,1,1,0.66,0.6061,0.83,0,12,110,122
14501,2012-09-01,3,1,9,9,0,6,0,2,0.76,0.7121,0.58,0.194,62,175,237
14057,2012-08-13,3,1,8,21,0,1,1,1,0.72,0.6818,0.66,0.194,44,246,290
5738,2011-09-01,3,0,9,12,0,4,1,2,0.72,0.6667,0.51,0.1343,64,165,229
15418,2012-10-09,4,1,10,14,0,2,1,2,0.54,0.5152,0.64,0.194,43,201,244
15723,2012-10-22,4,1,10,7,0,1,1,1,0.38,0.3939,0.66,0.0896,15,437,452
12503,2012-06-10,2,1,6,3,0,0,0,1,0.64,0.6061,0.73,0.1045,6,23,29
1306,2011-02-27,1,0,2,14,0,0,0,1,0.44,0.4394,0.47,0.0896,105,177,282
3213,2011-05-18,2,0,5,18,0,3,1,1,0.6,0.5909,0.73,0.2239,58,431,489
15419,2012-10-09,4,1,10,15,0,2,1,2,0.52,0.5,0.63,0.1642,59,195,254
12441,2012-06-07,2,1,6,13,0,4,1,1,0.7,0.6364,0.37,0.2836,65,250,315
7849,2011-11-28,4,0,11,16,0,1,1,1,0.56,0.5303,0.6,0.194,24,240,264
6676,2011-10-10,4,0,10,17,1,1,0,2,0.66,0.6212,0.54,0.1045,125,334,459
16070,2012-11-07,4,1,11,6,0,3,1,2,0.26,0.2424,0.56,0.2836,3,115,118
14452,2012-08-30,3,1,8,8,0,4,1,1,0.66,0.6212,0.65,0,53,701,754
5452,2011-08-20,3,0,8,1,0,6,0,1,0.62,0.5758,0.83,0,12,35,47
3342,2011-05-24,2,0,5,3,0,2,1,2,0.58,0.5455,0.94,0.1045,0,2,2
5006,2011-08-01,3,0,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,53,66,119
1791,2011-03-20,1,0,3,7,0,0,0,1,0.24,0.2273,0.6,0.2239,5,9,14
12539,2012-06-11,2,1,6,15,0,1,1,1,0.8,0.7121,0.41,0.3582,72,187,259
10347,2012-03-12,1,1,3,5,0,1,1,1,0.34,0.3333,0.61,0.194,1,15,16
4909,2011-07-28,3,0,7,10,0,4,1,1,0.8,0.7576,0.55,0.2836,30,86,116
12439,2012-06-07,2,1,6,11,0,4,1,1,0.66,0.6212,0.47,0.2239,67,170,237
7516,2011-11-14,4,0,11,18,0,1,1,1,0.56,0.5303,0.56,0.2836,29,460,489
14113,2012-08-16,3,1,8,5,0,4,1,1,0.6,0.5758,0.78,0.1642,7,30,37
15900,2012-10-31,4,1,10,4,0,3,1,2,0.3,0.2879,0.87,0.194,0,5,5
4646,2011-07-17,3,0,7,11,0,0,0,1,0.76,0.697,0.55,0.2836,147,244,391
14791,2012-09-13,3,1,9,11,0,4,1,1,0.66,0.6212,0.5,0.1642,71,183,254
4849,2011-07-25,3,0,7,22,0,1,1,1,0.7,0.6667,0.84,0,13,112,125
13441,2012-07-19,3,1,7,5,0,4,1,2,0.72,0.6818,0.7,0.1045,5,35,40
287,2011-01-13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139
8633,2011-12-31,1,0,12,11,0,6,0,1,0.42,0.4242,0.71,0.1642,65,152,217
473,2011-01-21,1,0,1,17,0,5,1,1,0.14,0.1212,0.28,0.3582,10,151,161
14521,2012-09-02,3,1,9,5,0,0,0,1,0.66,0.5909,0.89,0,2,10,12
11152,2012-04-14,2,1,4,20,0,6,0,2,0.56,0.5303,0.46,0.1343,112,209,321
3171,2011-05-17,2,0,5,0,0,2,1,2,0.56,0.5303,0.88,0,13,18,31
1390,2011-03-03,1,0,3,4,0,4,1,1,0.16,0.1212,0.31,0.4925,0,1,1
13994,2012-08-11,3,1,8,6,0,6,0,2,0.62,0.5606,0.88,0.1045,5,18,23
8146,2011-12-11,4,0,12,1,0,0,0,1,0.16,0.1515,0.59,0.2239,8,54,62
11689,2012-05-07,2,1,5,5,0,1,1,1,0.46,0.4545,0.88,0.1045,2,21,23
1023,2011-02-15,1,0,2,7,0,2,1,1,0.2,0.1818,0.32,0.3582,2,103,105
2410,2011-04-15,2,0,4,7,1,5,0,1,0.4,0.4091,0.71,0.1642,10,139,149
4560,2011-07-13,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.1045,56,194,250
10942,2012-04-06,2,1,4,1,0,5,1,1,0.36,0.3485,0.62,0.1343,10,28,38
13677,2012-07-29,3,1,7,1,0,0,0,1,0.66,0.6061,0.83,0.1045,49,109,158
3142,2011-05-15,2,0,5,19,0,0,0,1,0.56,0.5303,0.83,0.1045,78,153,231
14276,2012-08-23,3,1,8,0,0,4,1,1,0.64,0.5909,0.78,0,9,51,60
12082,2012-05-23,2,1,5,14,0,3,1,1,0.68,0.6364,0.65,0.1343,67,181,248
11544,2012-05-01,2,1,5,4,0,2,1,2,0.52,0.5,0.72,0.0896,1,7,8
901,2011-02-10,1,0,2,0,0,4,1,3,0.14,0.1364,0.86,0.194,0,16,16
4692,2011-07-19,3,0,7,9,0,2,1,2,0.8,0.7879,0.63,0.1343,22,177,199
13644,2012-07-27,3,1,7,16,0,5,1,1,0.84,0.7727,0.47,0.2239,80,419,499
7153,2011-10-30,4,0,10,15,0,0,0,1,0.42,0.4242,0.35,0.1642,88,202,290
4035,2011-06-22,3,0,6,0,0,3,1,1,0.66,0.6061,0.78,0.194,15,18,33
1693,2011-03-16,1,0,3,4,0,3,1,2,0.3,0.303,0.93,0.1642,0,1,1
264,2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
15947,2012-11-02,4,1,11,3,0,5,1,1,0.3,0.303,0.7,0.1642,0,3,3
14938,2012-09-19,3,1,9,14,0,3,1,1,0.62,0.6212,0.38,0.2537,59,227,286
3031,2011-05-11,2,0,5,4,0,3,1,2,0.48,0.4697,0.88,0.1343,0,2,2
769,2011-02-04,1,0,2,11,0,5,1,1,0.22,0.2273,0.51,0.1642,3,61,64
7055,2011-10-26,4,0,10,13,0,3,1,3,0.56,0.5303,0.6,0.1045,20,62,82
14735,2012-09-11,3,1,9,3,0,2,1,1,0.48,0.4697,0.67,0.1343,1,7,8
6245,2011-09-22,3,0,9,18,0,4,1,2,0.64,0.5758,0.83,0.1045,50,501,551
12839,2012-06-24,3,1,6,3,0,0,0,2,0.66,0.6212,0.65,0.0896,19,41,60
11712,2012-05-08,2,1,5,4,0,2,1,2,0.52,0.5,0.68,0.3284,0,5,5
5340,2011-08-15,3,0,8,9,0,1,1,1,0.64,0.5909,0.78,0.3284,52,170,222
16520,2012-11-26,4,1,11,1,0,1,1,1,0.2,0.2576,0.69,0,1,9,10
3913,2011-06-16,2,0,6,22,0,4,1,3,0.62,0.5758,0.83,0.2537,24,127,151
7658,2011-11-20,4,0,11,16,0,0,0,2,0.52,0.5,0.63,0.1343,81,225,306
6642,2011-10-09,4,0,10,7,0,0,0,1,0.44,0.4394,0.86,0,18,26,44
13909,2012-08-07,3,1,8,17,0,2,1,2,0.78,0.7424,0.62,0.1343,125,743,868
4128,2011-06-25,3,0,6,21,0,6,0,1,0.68,0.6364,0.51,0.1642,62,140,202
15355,2012-10-06,4,1,10,23,0,6,0,1,0.44,0.4394,0.62,0.1343,37,142,179
9854,2012-02-20,1,1,2,13,1,1,0,1,0.3,0.2879,0.42,0.2836,66,246,312
10976,2012-04-07,2,1,4,11,0,6,0,1,0.44,0.4394,0.24,0.2985,251,244,495
13901,2012-08-07,3,1,8,9,0,2,1,2,0.7,0.6667,0.74,0.1343,44,283,327
1134,2011-02-19,1,0,2,23,0,6,0,1,0.28,0.2424,0.33,0.4478,4,25,29
4589,2011-07-15,3,0,7,2,0,5,1,1,0.6,0.5758,0.78,0.1642,16,22,38
17259,2012-12-26,1,1,12,23,0,3,1,3,0.26,0.2273,0.87,0.2985,2,8,10
3871,2011-06-15,2,0,6,4,0,3,1,1,0.5,0.4848,0.63,0.2836,0,4,4
10147,2012-03-03,1,1,3,20,0,6,0,1,0.44,0.4394,0.3,0.1343,28,121,149
7978,2011-12-04,4,0,12,1,0,0,0,1,0.3,0.3182,0.75,0.0896,20,54,74
3233,2011-05-19,2,0,5,14,0,4,1,3,0.54,0.5152,0.73,0.194,43,137,180
3762,2011-06-10,2,0,6,15,0,5,1,1,0.84,0.7576,0.44,0.1045,49,163,212
14634,2012-09-06,3,1,9,22,0,4,1,1,0.64,0.5758,0.89,0.1642,24,193,217
11551,2012-05-01,2,1,5,11,0,2,1,2,0.66,0.6212,0.65,0.2836,50,179,229
14497,2012-09-01,3,1,9,5,0,6,0,1,0.68,0.6364,0.79,0,2,20,22
12237,2012-05-30,2,1,5,1,0,3,1,3,0.64,0.5758,0.89,0.194,0,4,4
9723,2012-02-15,1,1,2,1,0,3,1,1,0.34,0.3636,0.53,0,0,5,5
2063,2011-03-31,2,0,3,19,0,4,1,2,0.3,0.303,0.87,0.1343,12,118,130
10082,2012-03-01,1,1,3,3,0,4,1,1,0.46,0.4545,0.94,0.2239,0,3,3
10293,2012-03-09,1,1,3,22,0,5,1,1,0.34,0.2879,0.31,0.4925,7,100,107
14107,2012-08-15,3,1,8,23,0,3,1,1,0.68,0.6364,0.65,0.1045,18,120,138
4019,2011-06-21,3,0,6,8,0,2,1,2,0.62,0.5606,0.88,0.1045,33,368,401
3437,2011-05-28,2,0,5,2,0,6,0,1,0.56,0.5303,0.94,0.194,13,35,48
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110
5458,2011-08-20,3,0,8,7,0,6,0,1,0.62,0.5758,0.83,0,8,36,44
1642,2011-03-13,1,0,3,22,0,0,0,1,0.3,0.2727,0.56,0.3284,8,29,37
6895,2011-10-19,4,0,10,21,0,3,1,2,0.58,0.5455,0.94,0.1343,6,79,85
16701,2012-12-03,4,1,12,15,0,1,1,1,0.6,0.6212,0.56,0,58,210,268
5856,2011-09-06,3,0,9,11,0,2,1,3,0.54,0.5152,0.83,0.3881,11,78,89
17009,2012-12-16,4,1,12,11,0,0,0,2,0.36,0.3485,0.87,0.1343,47,248,295
9479,2012-02-04,1,1,2,20,0,6,0,3,0.24,0.2273,0.93,0.194,4,73,77
7854,2011-11-28,4,0,11,21,0,1,1,2,0.54,0.5152,0.77,0.2239,4,152,156
9893,2012-02-22,1,1,2,5,0,3,1,1,0.32,0.3333,0.7,0.1045,1,29,30
14933,2012-09-19,3,1,9,9,0,3,1,1,0.54,0.5152,0.6,0.2537,26,336,362
13233,2012-07-10,3,1,7,13,0,2,1,1,0.82,0.7273,0.38,0.194,77,203,280
2297,2011-04-10,2,0,4,13,0,0,0,1,0.46,0.4545,0.82,0.1045,121,142,263
2954,2011-05-07,2,0,5,23,0,6,0,1,0.5,0.4848,0.59,0.1045,30,89,119
11705,2012-05-07,2,1,5,21,0,1,1,2,0.54,0.5152,0.45,0.2239,37,210,247
3444,2011-05-28,2,0,5,9,0,6,0,1,0.64,0.6061,0.73,0.2537,61,116,177
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
4562,2011-07-13,3,0,7,23,0,3,1,1,0.66,0.6061,0.83,0.2537,33,83,116
14661,2012-09-08,3,1,9,1,0,6,0,2,0.66,0.5909,0.89,0.2836,10,107,117
5991,2011-09-12,3,0,9,4,0,1,1,1,0.54,0.5152,0.94,0.1045,0,4,4
8614,2011-12-30,1,0,12,16,0,5,1,1,0.42,0.4242,0.47,0.194,36,247,283
11813,2012-05-12,2,1,5,9,0,6,0,1,0.54,0.5152,0.49,0,87,248,335
9231,2012-01-25,1,1,1,12,0,3,1,1,0.32,0.3333,0.53,0.1343,46,147,193
14066,2012-08-14,3,1,8,6,0,2,1,3,0.64,0.5758,0.83,0.194,1,63,64
5967,2011-09-11,3,0,9,3,0,0,0,2,0.62,0.5909,0.78,0.0896,15,30,45
15767,2012-10-24,4,1,10,3,0,3,1,1,0.5,0.4848,0.77,0.0896,0,4,4
8037,2011-12-06,4,0,12,12,0,2,1,3,0.46,0.4545,1,0.2239,5,50,55
7422,2011-11-10,4,0,11,20,0,4,1,2,0.36,0.3333,0.62,0.2836,8,160,168
4504,2011-07-11,3,0,7,13,0,1,1,1,0.86,0.8182,0.5,0.2537,22,119,141
15772,2012-10-24,4,1,10,8,0,3,1,2,0.52,0.5,0.83,0.1045,24,777,801
12708,2012-06-18,2,1,6,16,0,1,1,2,0.6,0.5909,0.73,0.194,53,279,332
6178,2011-09-19,3,0,9,23,0,1,1,2,0.56,0.5303,0.73,0.194,13,55,68
11351,2012-04-23,2,1,4,3,0,1,1,2,0.32,0.303,0.81,0.2836,0,1,1
10026,2012-02-27,1,1,2,18,0,1,1,1,0.52,0.5,0.27,0.4179,10,517,527
3269,2011-05-21,2,0,5,2,0,6,0,1,0.52,0.5,0.72,0.1045,5,35,40
846,2011-02-07,1,0,2,16,0,1,1,2,0.36,0.3485,0.57,0.1343,16,98,114
15876,2012-10-28,4,1,10,16,0,0,0,3,0.48,0.4697,0.67,0.4627,42,251,293
1617,2011-03-12,1,0,3,20,0,6,0,1,0.4,0.4091,0.58,0.1045,22,64,86
5041,2011-08-02,3,0,8,22,0,2,1,2,0.78,0.7424,0.59,0.1642,22,169,191
