passenger_class,survived,gender,age,siblings_spouses,parents_children,fare,embarked
3,1,female,4,0,1,13.41670036,FR
3,0,male,,8,2,69.55000305,UK
1,1,female,29,0,0,211.3374939,UK
1,1,male,43,1,0,27.7208004,FR
3,1,male,25,0,0,7.795800209,UK
3,1,male,39,0,0,7.925000191,UK
1,0,male,,0,0,0,UK
1,1,female,,1,0,51.86249924,UK
3,0,male,26,1,2,20.57500076,UK
1,1,male,49,1,0,56.92919922,FR
3,0,male,24,0,0,8.050000191,UK
1,1,female,21,0,0,77.95829773,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,39,0,0,24.14999962,UK
3,0,male,21,0,0,7.800000191,UK
3,0,female,9,4,2,31.27499962,UK
3,1,female,5,0,0,12.47500038,UK
1,1,female,48,1,0,39.59999847,FR
3,1,male,36.5,1,0,17.39999962,UK
3,0,female,,1,0,14.45419979,FR
3,1,female,,1,0,15.5,IR
2,1,female,45,0,2,30,UK
1,1,female,45,1,1,164.8666992,UK
2,0,male,,0,0,0,UK
2,0,male,42,0,0,13,UK
3,0,male,,0,0,7.879199982,UK
3,0,female,21,0,0,7.75,IR
3,0,male,,0,0,7.729199886,IR
2,0,female,29,1,0,26,UK
1,1,female,18,0,2,79.65000153,UK
3,0,male,,0,0,7.895800114,UK
1,1,female,37,1,0,90,IR
2,1,female,24,1,2,65,UK
3,0,male,18,0,0,8.300000191,UK
3,0,male,4,4,1,29.125,IR
3,1,male,12,1,0,11.24170017,FR
1,1,female,37,1,0,90,IR
1,1,female,44,0,0,27.7208004,FR
2,1,female,34,1,1,32.5,UK
3,0,male,,0,0,7.224999905,FR
3,0,male,2,4,1,39.6875,UK
2,0,male,30,0,0,13,UK
1,1,female,19,0,2,26.2833004,UK
1,1,male,25,1,0,55.44169998,FR
3,0,male,19,0,0,8.050000191,UK
1,1,female,43,1,0,55.44169998,FR
2,0,male,23,0,0,10.5,UK
3,0,female,27,1,0,7.925000191,UK
2,0,male,70,0,0,10.5,UK
3,0,male,26,0,0,7.879199982,IR
2,1,female,36,0,0,13,UK
3,0,male,21,0,0,8.433300018,UK
3,0,male,19,0,0,7.775000095,UK
3,1,male,32,0,0,7.854199886,UK
3,0,male,11,0,0,18.78750038,FR
2,0,male,48,0,0,13,UK
1,0,male,62,0,0,26.54999924,UK
1,0,male,25,0,0,26,FR
2,1,female,34,0,0,13,UK
1,1,male,,0,0,35.5,UK
3,0,male,28,0,0,9.5,UK
2,0,male,25,0,0,13,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,18,1,0,6.495800018,UK
1,0,male,37,1,1,83.15830231,FR
1,1,female,19,1,0,91.07920074,FR
3,0,female,6,4,2,31.27499962,UK
3,1,female,4,0,1,13.41670036,FR
3,0,male,,0,0,6.4375,FR
3,0,male,,0,0,7.550000191,UK
1,0,male,38,0,0,0,UK
2,1,female,29,1,0,26,UK
1,1,female,22,1,0,66.59999847,UK
3,0,male,20,0,0,7.854199886,UK
1,1,female,22,0,0,151.5500031,UK
3,0,male,22,0,0,7.895800114,UK
1,0,male,32.5,0,0,211.5,FR
2,0,female,30,0,0,13,UK
3,0,male,30,0,0,7.229199886,FR
2,1,female,,0,0,12.35000038,IR
1,0,male,28,1,0,82.17079926,FR
3,0,female,2,1,1,20.21249962,UK
3,1,male,27,0,0,8.662500381,UK
3,0,male,33,0,0,8.6541996,UK
2,1,female,34,0,0,10.5,UK
2,1,female,19,1,0,26,UK
3,0,male,61,0,0,6.237500191,UK
3,0,male,,8,2,69.55000305,UK
3,0,male,,0,0,7.829199791,IR
3,0,male,21,0,0,7.800000191,UK
1,1,female,22,0,0,151.5500031,UK
3,1,female,,0,0,7.75,IR
3,0,male,24,0,0,7.495800018,UK
2,0,male,22,2,0,31.5,UK
2,0,male,,0,0,0,UK
3,1,female,,0,0,7.879199982,IR
1,0,male,49,0,0,26,UK
2,0,male,17,0,0,73.5,UK
3,1,female,35,1,1,20.25,UK
3,0,male,16,1,1,20.25,UK
3,0,female,39,1,5,31.27499962,UK
3,0,male,,0,0,7.229199886,FR
3,1,female,4,0,2,22.02499962,UK
1,1,female,48,1,1,79.19999695,FR
3,1,female,,0,0,7.720799923,IR
1,0,male,,0,0,30.69580078,FR
1,0,male,,0,0,221.7792053,UK
2,1,female,40,0,0,13,UK
3,0,male,70.5,0,0,7.75,IR
1,1,male,32,0,0,30.5,FR
3,1,female,5,0,0,12.47500038,UK
3,1,male,20,1,1,15.74170017,FR
2,0,male,47,0,0,15,UK
3,0,female,2,1,1,20.21249962,UK
3,0,male,,0,0,7.229199886,FR
1,1,male,48,0,0,26.54999924,UK
2,0,male,28,0,0,26,UK
3,0,male,,0,0,8.050000191,UK
3,0,female,48,1,3,34.375,UK
2,0,male,21,0,0,73.5,UK
3,1,male,6,0,1,12.47500038,UK
1,1,female,24,0,0,83.15830231,FR
1,0,male,,0,0,39.59999847,FR
2,0,female,38,0,0,13,UK
2,1,female,22,1,2,41.57920074,FR
3,1,male,32,0,0,7.854199886,UK
2,0,male,29,0,0,10.5,UK
3,0,male,40,1,4,27.89999962,UK
2,0,male,29,0,0,10.5,UK
3,0,male,21,0,0,8.050000191,UK
3,0,male,26,1,0,14.45419979,FR
3,0,male,,0,0,6.4375,FR
2,1,male,29,0,0,13.85830021,FR
3,0,male,38,0,0,7.050000191,UK
1,1,male,36,0,0,26.28750038,UK
2,0,female,29,1,0,26,UK
3,0,female,22,0,0,9.837499619,UK
2,1,female,29,1,0,26,UK
3,0,female,18,0,0,7.775000095,UK
3,0,male,21,0,0,8.050000191,UK
3,0,male,,0,0,7.229199886,FR
2,0,male,28,0,0,10.5,UK
2,0,male,23,2,1,11.5,UK
3,0,female,,8,2,69.55000305,UK
3,0,male,41,0,0,7.125,UK
3,0,female,27,1,0,7.925000191,UK
1,1,male,,0,0,26,UK
3,1,male,32,0,0,7.775000095,UK
3,1,female,1,0,2,15.74170017,FR
3,0,male,,0,0,8.050000191,UK
3,0,male,16,0,0,9.2166996,UK
3,0,male,25,0,0,7.224999905,FR
1,1,male,37,1,1,52.55419922,UK
3,0,male,35,0,0,8.050000191,UK
3,0,male,,0,0,8.712499619,FR
3,0,male,28,0,0,9.5,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,35,0,0,8.050000191,UK
3,0,male,32,1,0,15.85000038,UK
3,0,female,,0,0,8.050000191,UK
3,1,male,,1,1,22.35829926,FR
2,0,male,29,0,0,10.5,UK
3,0,male,19,0,0,14.5,UK
3,0,male,30,0,0,7.25,UK
3,0,male,30,0,0,7.224999905,FR
1,1,male,45,1,1,134.5,FR
3,0,male,,0,0,6.4375,FR
3,1,male,21,0,0,7.775000095,UK
3,1,male,21,0,0,7.795800209,UK
3,0,male,7,4,1,29.125,IR
3,0,male,23,0,0,9.225000381,UK
2,1,male,0.666700006,1,1,14.5,UK
1,0,male,39,1,0,71.28330231,FR
3,0,female,10,0,2,24.14999962,UK
3,0,male,21,0,0,7.800000191,UK
1,1,male,53,0,0,28.5,FR
2,0,female,60,1,0,26,UK
3,1,male,12,1,0,11.24170017,FR
3,0,female,26,0,2,13.77499962,UK
3,0,male,,0,0,7.895800114,UK
3,1,male,,0,0,56.49580002,UK
3,1,male,32,0,0,56.49580002,UK
1,1,female,24,0,0,49.50419998,FR
3,0,male,27,1,0,14.45419979,FR
1,1,female,30,0,0,31,FR
2,0,male,34,1,0,26,UK
1,1,female,58,0,0,26.54999924,UK
1,1,female,,0,0,27.7208004,FR
3,1,male,21,0,0,7.795800209,UK
2,0,male,39,0,0,26,UK
2,0,male,34,1,0,26,UK
3,1,female,36,0,2,15.89999962,UK
1,1,female,64,0,2,83.15830231,FR
1,0,male,71,0,0,34.65420151,FR
1,0,male,47,0,0,42.40000153,UK
3,1,female,23,0,0,7.550000191,UK
3,0,female,37,0,0,9.587499619,UK
2,0,male,26,0,0,13,UK
3,1,male,36.5,1,0,17.39999962,UK
3,0,male,,0,0,7,UK
3,0,male,2,3,1,21.07500076,UK
3,0,male,,0,0,7.75,IR
3,0,male,24,0,0,7.495800018,UK
3,0,male,22,0,0,7.795800209,UK
3,1,female,5,0,0,12.47500038,UK
3,0,male,21,2,0,24.14999962,UK
1,1,male,,0,0,25.74169922,FR
3,0,male,24,0,0,7.895800114,UK
2,0,male,,0,0,12.875,UK
3,0,female,45,1,4,27.89999962,UK
3,0,female,6,4,2,31.27499962,UK
1,0,male,40,0,0,0,UK
3,1,female,,1,0,15.5,IR
3,0,male,,0,0,8.050000191,UK
3,1,female,31,1,1,20.52499962,UK
3,0,male,21,0,0,7.800000191,UK
3,1,male,39,0,0,7.925000191,UK
3,0,male,,0,0,8.458299637,IR
3,1,male,36.5,1,0,17.39999962,UK
3,1,female,38,0,0,7.229199886,FR
3,0,male,21,0,0,7.25,UK
3,0,female,27,1,0,7.925000191,UK
3,0,male,17,2,0,8.050000191,UK
3,0,male,33,0,0,8.662500381,FR
3,0,male,33,0,0,8.050000191,UK
2,1,female,36,0,0,13,UK
2,1,female,27,1,0,13.85830021,FR
3,0,male,6,1,1,15.24580002,FR
2,0,female,18,1,1,13,UK
3,1,female,18,0,1,9.350000381,UK
2,0,female,27,1,0,21,UK
3,0,male,32,0,0,22.52499962,UK
3,0,male,17,1,1,7.229199886,FR
2,1,female,4,1,1,23,UK
2,1,female,24,2,3,18.75,UK
2,0,male,34,1,0,21,UK
3,0,male,11,5,2,46.90000153,UK
3,0,male,25,0,0,7.25,UK
3,0,male,22,0,0,7.25,UK
3,0,female,26,0,2,13.77499962,UK
1,0,male,41,1,0,51.86249924,UK
3,0,female,,0,0,7.879199982,IR
1,1,female,33,0,0,151.5500031,UK
1,1,female,16,0,1,39.40000153,UK
3,0,male,,0,0,7.75,IR
3,0,male,29,0,0,7.775000095,UK
3,0,female,6,4,2,31.27499962,UK
3,0,male,,0,0,7.229199886,FR
3,1,female,38,0,0,7.229199886,FR
3,0,female,41,0,2,20.21249962,UK
2,0,male,19,1,1,36.75,UK
3,0,male,44,0,0,8.050000191,UK
1,0,male,24,1,0,60,UK
1,1,male,27,0,0,30.5,UK
3,0,male,,0,0,7.229199886,FR
3,0,female,,0,0,8.050000191,UK
3,0,female,18,0,0,6.75,IR
2,0,female,18,1,1,13,UK
3,0,male,24,0,0,8.050000191,UK
1,1,female,64,0,2,83.15830231,FR
1,1,female,54,1,0,78.26670074,FR
3,0,female,28,0,0,7.895800114,UK
3,0,male,27,0,0,8.662500381,UK
2,0,male,14,0,0,65,UK
3,1,male,12,1,0,11.24170017,FR
3,0,female,2,0,1,10.46249962,UK
2,0,male,19,0,0,13,UK
1,1,male,4,0,2,81.85829926,UK
3,0,male,7,4,1,29.125,IR
1,1,female,27,1,1,247.5207977,FR
3,0,male,,0,0,7.895800114,UK
3,0,male,11,0,0,18.78750038,FR
3,0,male,30,1,0,16.10000038,UK
3,0,female,37,0,0,7.75,IR
3,0,male,55.5,0,0,8.050000191,UK
1,1,female,64,1,1,26.54999924,UK
3,0,male,,1,0,19.9666996,UK
2,0,male,18,0,0,11.5,UK
3,0,female,22,0,0,39.6875,UK
1,1,female,64,1,1,26.54999924,UK
3,0,male,,2,0,21.67919922,FR
3,1,female,30,0,0,6.949999809,IR
2,1,female,3,1,2,41.57920074,FR
3,0,male,,0,0,7.224999905,FR
3,1,female,,0,0,7.75,IR
3,0,male,29,0,0,7.854199886,UK
3,0,male,32,0,0,7.925000191,UK
1,1,male,31,0,0,28.53750038,FR
1,0,male,37,1,1,83.15830231,FR
2,0,male,61,0,0,12.35000038,IR
2,1,female,19,0,0,26,UK
2,0,male,25,0,0,10.5,UK
3,0,female,,0,0,7.550000191,UK
3,1,male,32,0,0,7.854199886,UK
3,0,male,33,0,0,8.6541996,UK
3,1,male,,0,0,7.050000191,UK
2,0,male,59,0,0,13.5,UK
2,0,male,22,2,0,31.5,UK
3,0,male,14,5,2,46.90000153,UK
3,0,female,6,4,2,31.27499962,UK
3,0,male,,0,0,7.224999905,FR
3,0,female,23,0,0,7.925000191,UK
3,0,male,,0,0,7.229199886,FR
2,0,male,34,1,0,21,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,,0,0,15.10000038,UK
2,0,male,32,2,0,73.5,UK
3,0,male,4,4,2,31.27499962,UK
2,0,male,24,0,0,13.5,UK
3,1,female,16,0,0,7.733300209,IR
3,1,female,,0,0,7.75,IR
1,1,female,36,0,0,262.375,FR
3,0,female,6,4,2,31.27499962,UK
2,0,male,36,0,0,12.875,FR
3,0,male,,0,0,8.050000191,UK
3,1,female,23,0,0,8.050000191,UK
3,1,male,39,0,1,13.41670036,FR
1,0,male,47,1,0,227.5249939,FR
2,0,female,30,0,0,13,UK
3,0,female,48,1,3,34.375,UK
3,0,female,14,0,0,7.854199886,UK
1,1,female,43,1,0,55.44169998,FR
2,0,male,19,1,1,36.75,UK
2,1,male,24,0,0,10.5,UK
1,1,male,31,0,0,28.53750038,FR
2,0,female,44,1,0,26,UK
1,0,male,36,1,0,78.84999847,UK
3,0,male,29,0,0,9.483300209,UK
3,1,female,24,0,2,16.70000076,UK
3,0,male,34,0,0,6.495800018,UK
3,0,male,,0,0,8.050000191,UK
2,0,male,36,0,0,10.5,UK
1,1,female,26,0,0,78.84999847,UK
2,0,male,42,0,0,13,UK
2,0,male,30,0,0,13,UK
3,0,male,21,0,0,8.050000191,UK
3,0,male,22,0,0,8.050000191,UK
3,0,female,2,1,1,20.21249962,UK
2,0,male,,0,0,10.70829964,IR
3,1,male,29,0,0,7.895800114,FR
3,0,male,65,0,0,7.75,IR
2,1,female,20,1,0,26,UK
3,0,female,3,3,1,21.07500076,UK
3,0,male,22,0,0,8.050000191,UK
3,0,male,,0,0,8.050000191,UK
3,1,female,45,0,0,7.224999905,FR
3,0,male,21,0,0,7.854199886,UK
3,0,male,22,0,0,7.895800114,UK
3,0,male,70.5,0,0,7.75,IR
2,1,female,29,1,0,26,UK
2,0,male,34,1,0,26,UK
1,1,female,52,1,0,78.26670074,FR
2,1,female,18,0,2,13,UK
3,0,male,7,4,1,39.6875,UK
3,1,male,,0,0,7.75,IR
2,1,female,20,1,0,26,UK
1,0,male,44,2,0,90,IR
1,1,male,28,0,0,26.54999924,UK
2,1,female,54,1,3,23,UK
1,1,female,21,0,0,26.54999924,UK
1,1,female,26,1,0,136.7792053,FR
2,0,male,25,0,0,10.5,UK
1,1,male,32,0,0,30.5,FR
3,1,male,32,0,0,7.925000191,UK
1,0,male,,0,0,221.7792053,UK
1,1,female,45,0,1,63.35829926,FR
3,0,male,21,0,0,7.925000191,UK
3,1,female,35,1,1,20.25,UK
1,0,male,21,0,1,77.28749847,UK
3,1,female,31,0,0,8.683300018,UK
1,1,male,,0,0,29.70000076,FR
2,1,female,22,1,2,41.57920074,FR
3,0,male,32,1,0,15.85000038,UK
3,1,male,12,1,0,11.24170017,FR
3,0,male,,0,0,8.050000191,UK
3,0,male,24.5,0,0,8.050000191,UK
3,0,female,20,0,0,7.854199886,UK
3,1,female,,0,0,7.733300209,IR
3,0,male,,0,0,7.75,IR
3,0,male,,0,0,7.550000191,UK
2,1,female,45,0,0,13.5,UK
3,0,male,26,0,0,7.879199982,IR
2,0,male,54,0,0,26,UK
1,1,male,48,0,0,26.54999924,UK
2,0,male,25,0,0,31.5,UK
2,0,male,27,0,0,15.0333004,FR
1,0,male,57,1,0,146.5207977,FR
3,0,male,,0,0,7.75,IR
3,1,male,32,0,0,7.854199886,UK
